Stock Name,Symbol,Sector,Industry Name,Exchange, ISIN NUMBER
Grindwell Norton Ltd.,GRINDWELL,Abrasives,Abrasives,NSE,INE536A01023
Carborundum Universal Ltd.,CARBORUNIV,Abrasives,Abrasives,NSE,INE120A01034
Wendt (India) Ltd.,WENDT,Abrasives,Abrasives,NSE,INE274C01019
Signpost India Ltd.,SIGNPOST,Media & Entertainment,Advertising & Media,NSE,INE0KGZ01021
Vertoz Ltd.,VERTOZ,Media & Entertainment,Advertising & Media,NSE,INE188Y01031
RK Swamy Ltd.,RKSWAMY,Media & Entertainment,Advertising & Media,NSE,INE0NQ801033
Cash UR Drive Marketing Ltd.,CUDML,Media & Entertainment,Advertising & Media,NSE,INE0WL201014
Maxposure Ltd.,MAXPOSURE,Media & Entertainment,Advertising & Media,NSE,INE0ECC01022
Crayons Advertising Ltd.,CRAYONS,Media & Entertainment,Advertising & Media,NSE,INE0OFK01019
Graphisads Ltd.,GRAPHISAD,Media & Entertainment,Advertising & Media,NSE,INE0POU01017
Veritaas Advertising Ltd.,VERITAAS,Media & Entertainment,Advertising & Media,NSE,INE0SRI01019
Kaveri Seed Company Ltd.,KSCL,Agriculture,Agriculture,NSE,INE455I01029
Venky'S (India) Ltd.,VENKEYS,Agriculture,Agriculture,NSE,INE398A01010
Bombay Super Hybrid Seeds Ltd.,BSHSL,Agriculture,Agriculture,NSE,INE032Z01020
AVT Natural Products Ltd.,AVTNPL,Agriculture,Agriculture,NSE,INE488D01021
Regaal Resources Ltd.,REGAAL,Agriculture,Agriculture,NSE,INE0MHO01029
Shri Ahimsa Naturals Ltd.,SHRIAHIMSA,Agriculture,Agriculture,NSE,INE0DM401012
Mangalam Global Enterprise Ltd.,MGEL,Agriculture,Agriculture,NSE,INE0APB01032
Freshara Agro Exports Ltd.,FRESHARA,Agriculture,Agriculture,NSE,INE0SFW01015
Harrisons Malayalam Ltd.,HARRMALAYA,Agriculture,Agriculture,NSE,INE544A01019
Nath Bio-Genes (India) Ltd.,NATHBIOGEN,Agriculture,Agriculture,NSE,INE448G01010
Indo US Bio-Tech Ltd.,INDOUS,Agriculture,Agriculture,NSE,INE250Z01010
Kotyark Industries Ltd.,KOTYARK,Agriculture,Agriculture,NSE,INE0J0B01017
Sheetal Universal Ltd.,SHEETAL,Agriculture,Agriculture,NSE,INE04VX01019
Shree Oswal Seeds and Chemicals Ltd.,OSWALSEEDS,Agriculture,Agriculture,NSE,INE00IK01029
Sheel Biotech Ltd.,SHEEL,Agriculture,Agriculture,NSE,INE0YJV01017
Upsurge Seeds Of Agriculture Ltd.,USASEEDS,Agriculture,Agriculture,NSE,INE0CBM01019
Agri-Tech (India) Ltd.,AGRITECH,Agriculture,Agriculture,NSE,INE449G01018
Narmada Agrobase Ltd.,NARMADA,Agriculture,Agriculture,NSE,INE117Z01011
Sameera Agro & Infra Ltd.,SAIFL,Agriculture,Agriculture,NSE,INE0PZA01015
Rajgor Castor Derivatives Ltd.,RCDL,Agriculture,Agriculture,NSE,INE0BZQ01011
Dhanlaxmi Crop Science Ltd.,DHANLAXMI,Agriculture,Agriculture,NSE,INE0V9V01010
Nirman Agri Genetics Ltd.,NIRMAN,Agriculture,Agriculture,NSE,INE0OK701014
Vishwas Agri Seeds Ltd.,VISHWAS,Agriculture,Agriculture,NSE,INE0S2E01016
Continental Seeds and Chemicals Ltd.,CONTI,Agriculture,Agriculture,NSE,INE340Z01019
Gajanand International Ltd.,GAJANAND,Agriculture,Agriculture,NSE,INE0QTE01018
Antarctica Ltd.,ANTGRAPHIC,Agriculture,Agriculture,NSE,INE414B01021
Voltas Ltd.,VOLTAS,Consumer Durables,Air Conditioners,NSE,INE226A01021
Blue Star Ltd.,BLUESTARCO,Consumer Durables,Air Conditioners,NSE,INE472A01039
Amber Enterprises India Ltd.,AMBER,Consumer Durables,Air Conditioners,NSE,INE371P01015
Bosch Home Comfort India Ltd.,BOSCH-HCIL,Consumer Durables,Air Conditioners,NSE,INE782A01015
EPACK Durable Ltd.,EPACK,Consumer Durables,Air Conditioners,NSE,INE0G5901015
Interglobe Aviation Ltd.,INDIGO,Aviation,Airlines,NSE,INE646L01027
Raymond Ltd.,RAYMOND,Aviation,Airlines,NSE,INE301A01014
FlySBS Aviation Ltd.,FLYSBS,Aviation,Airlines,NSE,INE0VCK01011
Global Vectra Helicorp Ltd.,GLOBALVECT,Aviation,Airlines,NSE,INE792H01019
GMR Airports Ltd.,GMRAIRPORT,Aviation,Airport Management Services,NSE,INE776C01039
Dreamfolks Services Ltd.,DREAMFOLKS,Aviation,Airport Management Services,NSE,INE0JS101016
National Aluminium Company Ltd.,NATIONALUM,Non - Ferrous Metals,Aluminium & Aluminium Products,NSE,INE139A01034
Arfin India Ltd.,ARFIN,Non - Ferrous Metals,Aluminium & Aluminium Products,NSE,INE784R01023
Maan Aluminium Ltd.,MAANALU,Non - Ferrous Metals,Aluminium & Aluminium Products,NSE,INE215I01027
Hardwyn India Ltd.,HARDWYN,Non - Ferrous Metals,Aluminium & Aluminium Products,NSE,INE626Z01029
MMP Industries Ltd.,MMP,Non - Ferrous Metals,Aluminium & Aluminium Products,NSE,INE511Y01018
Baheti Recycling Industries Ltd.,BAHETI,Non - Ferrous Metals,Aluminium & Aluminium Products,NSE,INE029Q01017
Euro Panel Products Ltd.,EUROBOND,Non - Ferrous Metals,Aluminium & Aluminium Products,NSE,INE505V01016
Jainik Power Cables Ltd.,JAINIK,Non - Ferrous Metals,Aluminium & Aluminium Products,NSE,INE0XIL01012
Century Extrusions Ltd.,CENTEXT,Non - Ferrous Metals,Aluminium & Aluminium Products,NSE,INE281A01026
Manaksia Aluminium Company Ltd.,MANAKALUCO,Non - Ferrous Metals,Aluminium & Aluminium Products,NSE,INE859Q01017
Wonderla Holidays Ltd.,WONDERLA,Hospitality,Amusement Parks/Recreation/Club,NSE,INE066O01014
Imagicaaworld Entertainment Ltd.,IMAGICAA,Hospitality,Amusement Parks/Recreation/Club,NSE,INE172N01012
Delta Corp Ltd.,DELTACORP,Hospitality,Amusement Parks/Recreation/Club,NSE,INE124G01033
Avanti Feeds Ltd.,AVANTIFEED,Fast Moving Consumer Goods,Animal Feed,NSE,INE871C01038
Godrej Agrovet Ltd.,GODREJAGRO,Fast Moving Consumer Goods,Animal Feed,NSE,INE850D01014
Mukka Proteins Ltd.,MUKKA,Fast Moving Consumer Goods,Animal Feed,NSE,INE0CG401037
Ajooni Biotech Ltd.,AJOONI,Fast Moving Consumer Goods,Animal Feed,NSE,INE820Y01021
Apex Frozen Foods Ltd.,APEX,Agriculture,Aquaculture,NSE,INE346W01013
Samvardhana Motherson International Ltd.,MOTHERSON,Automobile & Ancillaries,Auto Ancillary,NSE,INE775A01035
Bosch Ltd.,BOSCHLTD,Automobile & Ancillaries,Auto Ancillary,NSE,INE323A01026
UNO Minda Ltd.,UNOMINDA,Automobile & Ancillaries,Auto Ancillary,NSE,INE405E01023
Tube Investments of India Ltd.,TIINDIA,Automobile & Ancillaries,Auto Ancillary,NSE,INE974X01010
Endurance Technologies Ltd.,ENDURANCE,Automobile & Ancillaries,Auto Ancillary,NSE,INE913H01037
Motherson Sumi Wiring India Ltd.,MSUMI,Automobile & Ancillaries,Auto Ancillary,NSE,INE0FS801015
Sona BLW Precision Forgings Ltd.,SONACOMS,Automobile & Ancillaries,Auto Ancillary,NSE,INE073K01018
ZF Commercial Vehicle Control Systems India Ltd.,ZFCVINDIA,Automobile & Ancillaries,Auto Ancillary,NSE,INE342J01019
Tenneco Clean Air India Ltd.,TENNIND,Automobile & Ancillaries,Auto Ancillary,NSE,INE19RI01016
Sundram Fasteners Ltd.,SUNDRMFAST,Automobile & Ancillaries,Auto Ancillary,NSE,INE387A01021
Craftsman Automation Ltd.,CRAFTSMAN,Automobile & Ancillaries,Auto Ancillary,NSE,INE00LO01017
Belrise Industries Ltd.,BELRISE,Automobile & Ancillaries,Auto Ancillary,NSE,INE894V01022
CIE Automotive India Ltd.,CIEINDIA,Automobile & Ancillaries,Auto Ancillary,NSE,INE536H01010
Gabriel India Ltd.,GABRIEL,Automobile & Ancillaries,Auto Ancillary,NSE,INE524A01029
JBM Auto Ltd.,JBMA,Automobile & Ancillaries,Auto Ancillary,NSE,INE927D01051
Shriram Pistons & Rings Ltd,SHRIPISTON,Automobile & Ancillaries,Auto Ancillary,NSE,INE526E01018
Minda Corporation Ltd.,MINDACORP,Automobile & Ancillaries,Auto Ancillary,NSE,INE842C01021
Bombay Burmah Trading Corporation Ltd.,BBTC,Automobile & Ancillaries,Auto Ancillary,NSE,INE050A01025
Sansera Engineering Ltd.,SANSERA,Automobile & Ancillaries,Auto Ancillary,NSE,INE953O01021
Lumax Auto Technologies Ltd.,LUMAXTECH,Automobile & Ancillaries,Auto Ancillary,NSE,INE872H01027
Banco Products (India) Ltd.,BANCOINDIA,Automobile & Ancillaries,Auto Ancillary,NSE,INE213C01025
ASK Automotive Ltd.,ASKAUTOLTD,Automobile & Ancillaries,Auto Ancillary,NSE,INE491J01022
Varroc Engineering Ltd.,VARROC,Automobile & Ancillaries,Auto Ancillary,NSE,INE665L01035
Pricol Ltd.,PRICOLLTD,Automobile & Ancillaries,Auto Ancillary,NSE,INE726V01018
Suprajit Engineering Ltd.,SUPRAJIT,Automobile & Ancillaries,Auto Ancillary,NSE,INE399C01030
Fiem Industries Ltd.,FIEMIND,Automobile & Ancillaries,Auto Ancillary,NSE,INE737H01014
LG Balakrishnan & Bros Ltd.,LGBBROSLTD,Automobile & Ancillaries,Auto Ancillary,NSE,INE337A01034
SJS Enterprises Ltd.,SJS,Automobile & Ancillaries,Auto Ancillary,NSE,INE284S01014
Subros Ltd.,SUBROS,Automobile & Ancillaries,Auto Ancillary,NSE,INE287B01021
Sharda Motor Industries Ltd.,SHARDAMOTR,Automobile & Ancillaries,Auto Ancillary,NSE,INE597I01028
Lumax Industries Ltd.,LUMAXIND,Automobile & Ancillaries,Auto Ancillary,NSE,INE162B01018
Jamna Auto Industries Ltd.,JAMNAAUTO,Automobile & Ancillaries,Auto Ancillary,NSE,INE039C01032
JTEKT India Ltd.,JTEKTINDIA,Automobile & Ancillaries,Auto Ancillary,NSE,INE643A01035
Shanthi Gears Ltd.,SHANTIGEAR,Automobile & Ancillaries,Auto Ancillary,NSE,INE631A01022
Sandhar Technologies Ltd.,SANDHAR,Automobile & Ancillaries,Auto Ancillary,NSE,INE278H01035
Carraro India Ltd.,CARRARO,Automobile & Ancillaries,Auto Ancillary,NSE,INE0V7W01012
Steel Strips Wheels Ltd.,SSWL,Automobile & Ancillaries,Auto Ancillary,NSE,INE802C01033
Automotive Axles Ltd.,AUTOAXLES,Automobile & Ancillaries,Auto Ancillary,NSE,INE449A01011
Sundaram-Clayton Ltd.,SUNCLAY,Automobile & Ancillaries,Auto Ancillary,NSE,INE0Q3R01026
Federal-Mogul Goetze (India) Ltd.,FMGOETZE,Automobile & Ancillaries,Auto Ancillary,NSE,INE529A01010
Rajratan Global Wire Ltd.,RAJRATAN,Automobile & Ancillaries,Auto Ancillary,NSE,INE451D01029
Rane (Madras) Ltd.,RML,Automobile & Ancillaries,Auto Ancillary,NSE,INE050H01012
Studds Accessories Ltd.,STUDDS,Automobile & Ancillaries,Auto Ancillary,NSE,INE00Q601028
Wheels India Ltd.,WHEELS,Automobile & Ancillaries,Auto Ancillary,NSE,INE715A01015
NDR Auto Components Ltd.,NDRAUTO,Automobile & Ancillaries,Auto Ancillary,NSE,INE07OG01012
Divgi Torqtransfer Systems Ltd.,DIVGIITTS,Automobile & Ancillaries,Auto Ancillary,NSE,INE753U01022
India Nippon Electricals Ltd.,INDNIPPON,Automobile & Ancillaries,Auto Ancillary,NSE,INE092B01025
Rico Auto Industries Ltd.,RICOAUTO,Automobile & Ancillaries,Auto Ancillary,NSE,INE209B01025
Talbros Automotive Components Ltd.,TALBROAUTO,Automobile & Ancillaries,Auto Ancillary,NSE,INE187D01029
Precision Camshafts Ltd.,PRECAM,Automobile & Ancillaries,Auto Ancillary,NSE,INE484I01029
RACL Geartech Ltd.,RACLGEAR,Automobile & Ancillaries,Auto Ancillary,NSE,INE704B01017
The Hi-Tech Gears Ltd.,HITECHGEAR,Automobile & Ancillaries,Auto Ancillary,NSE,INE127B01011
GNA Axles Ltd.,GNA,Automobile & Ancillaries,Auto Ancillary,NSE,INE934S01014
Kross Ltd.,KROSS,Automobile & Ancillaries,Auto Ancillary,NSE,INE0O6601022
Bharat Seats Ltd.,BHARATSE,Automobile & Ancillaries,Auto Ancillary,NSE,INE415D01024
Jay Bharat Maruti Ltd.,JAYBARMARU,Automobile & Ancillaries,Auto Ancillary,NSE,INE571B01036
Munjal Auto Industries Ltd.,MUNJALAU,Automobile & Ancillaries,Auto Ancillary,NSE,INE672B01032
Automotive Stampings and Assemblies Ltd.,ASAL,Automobile & Ancillaries,Auto Ancillary,NSE,INE900C01027
Hindustan Composites Ltd.,HINDCOMPOS,Automobile & Ancillaries,Auto Ancillary,NSE,INE310C01029
Munjal Showa Ltd.,MUNJALSHOW,Automobile & Ancillaries,Auto Ancillary,NSE,INE577A01027
Remsons Industries Ltd.,REMSONSIND,Automobile & Ancillaries,Auto Ancillary,NSE,INE474C01023
Autoline Industries Ltd.,AUTOIND,Automobile & Ancillaries,Auto Ancillary,NSE,INE718H01014
Pavna Industries Ltd.,PAVNAIND,Automobile & Ancillaries,Auto Ancillary,NSE,INE07S101038
PPAP Automotive Ltd.,PPAP,Automobile & Ancillaries,Auto Ancillary,NSE,INE095I01015
Shivam Autotech Ltd.,SHIVAMAUTO,Automobile & Ancillaries,Auto Ancillary,NSE,INE637H01024
Sintercom India Ltd.,SINTERCOM,Automobile & Ancillaries,Auto Ancillary,NSE,INE129Z01016
Sundaram Brake Linings Ltd.,SUNDRMBRAK,Automobile & Ancillaries,Auto Ancillary,NSE,INE073D01013
UCAL Ltd.,UCAL,Automobile & Ancillaries,Auto Ancillary,NSE,INE139B01016
Uravi Defence and Technology Ltd.,URAVIDEF,Automobile & Ancillaries,Auto Ancillary,NSE,INE568Z01015
Omax Autos Ltd.,OMAXAUTO,Automobile & Ancillaries,Auto Ancillary,NSE,INE090B01011
Setco Automotive Ltd.,SETCO,Automobile & Ancillaries,Auto Ancillary,NSE,INE878E01021
Pritika Engineering Components Ltd.,PRITIKA,Automobile & Ancillaries,Auto Ancillary,NSE,INE0MJQ01020
Bharat Gears Ltd.,BHARATGEAR,Automobile & Ancillaries,Auto Ancillary,NSE,INE561C01019
ASL Industries Ltd.,ASLIND,Automobile & Ancillaries,Auto Ancillary,NSE,INE617I01024
Sellowrap Industries Ltd.,SELLOWRAP,Automobile & Ancillaries,Auto Ancillary,NSE,INE0IJF01013
Shigan Quantum Technologies Ltd.,SHIGAN,Automobile & Ancillaries,Auto Ancillary,NSE,INE03KJ01013
Premium Plast Ltd.,PREMIUM,Automobile & Ancillaries,Auto Ancillary,NSE,INE0M1F01011
Mandeep Auto Industries Ltd.,MANDEEP,Automobile & Ancillaries,Auto Ancillary,NSE,INE0R3T01013
Landmark Cars Ltd.,LANDMARK,Automobile & Ancillaries,Automobiles - Dealers & Distributors,NSE,INE559R01029
Popular Vehicles & Services Ltd.,PVSL,Automobile & Ancillaries,Automobiles - Dealers & Distributors,NSE,INE772T01024
Bikewo Green Tech Ltd.,BIKEWO,Automobile & Ancillaries,Automobiles - Dealers & Distributors,NSE,INE0SQH01013
Kalyani Commercials Ltd.,KALYANI,Automobile & Ancillaries,Automobiles - Dealers & Distributors,NSE,INE610E01010
Maruti Suzuki India Ltd.,MARUTI,Automobile & Ancillaries,Automobiles - Passenger Cars,NSE,INE585B01010
Mahindra & Mahindra Ltd.,M&M,Automobile & Ancillaries,Automobiles - Passenger Cars,NSE,INE101A01026
Hyundai Motor India Ltd.,HYUNDAI,Automobile & Ancillaries,Automobiles - Passenger Cars,NSE,INE0V6F01027
Tata Motors Passenger Vehicles Ltd.,TMPV,Automobile & Ancillaries,Automobiles - Passenger Cars,NSE,INE155A01022
Escorts Kubota Ltd.,ESCORTS,Automobile & Ancillaries,Automobiles-Tractors,NSE,INE042A01014
V.S.T. Tillers Tractors Ltd.,VSTTILLERS,Automobile & Ancillaries,Automobiles-Tractors,NSE,INE764D01017
Indo Farm Equipments Ltd.,INDOFARM,Automobile & Ancillaries,Automobiles-Tractors,NSE,INE622H01018
Tata Motors Ltd.,TMCV,Automobile & Ancillaries,Automobiles-Trucks/Lcv,NSE,INE1TAE01010
Ashok Leyland Ltd.,ASHOKLEY,Automobile & Ancillaries,Automobiles-Trucks/Lcv,NSE,INE208A01029
Force Motors Ltd.,FORCEMOT,Automobile & Ancillaries,Automobiles-Trucks/Lcv,NSE,INE451A01017
Olectra Greentech Ltd.,OLECTRA,Automobile & Ancillaries,Automobiles-Trucks/Lcv,NSE,INE260D01016
SML Mahindra Ltd.,SMLMAH,Automobile & Ancillaries,Automobiles-Trucks/Lcv,NSE,INE294B01019
Bajaj Auto Ltd.,BAJAJ-AUTO,Automobile & Ancillaries,Automobile Two & Three Wheelers,NSE,INE917I01010
Eicher Motors Ltd.,EICHERMOT,Automobile & Ancillaries,Automobile Two & Three Wheelers,NSE,INE066A01021
TVS Motor Company Ltd.,TVSMOTOR,Automobile & Ancillaries,Automobile Two & Three Wheelers,NSE,INE494B01023
Hero MotoCorp Ltd.,HEROMOTOCO,Automobile & Ancillaries,Automobile Two & Three Wheelers,NSE,INE158A01026
Ather Energy Ltd.,ATHERENERG,Automobile & Ancillaries,Automobile Two & Three Wheelers,NSE,INE0LEZ01016
OLA Electric Mobility Ltd.,OLAELEC,Automobile & Ancillaries,Automobile Two & Three Wheelers,NSE,INE0LXG01040
Atul Auto Ltd.,ATULAUTO,Automobile & Ancillaries,Automobile Two & Three Wheelers,NSE,INE951D01028
Tunwal E-Motors Ltd.,TUNWAL,Automobile & Ancillaries,Automobile Two & Three Wheelers,NSE,INE0OXV01027
Delta Autocorp Ltd.,DELTIC,Automobile & Ancillaries,Automobile Two & Three Wheelers,NSE,INE0XRN01019
HDFC Bank Ltd.,HDFCBANK,Banking,Bank - Private,NSE,INE040A01034
ICICI Bank Ltd.,ICICIBANK,Banking,Bank - Private,NSE,INE090A01021
Kotak Mahindra Bank Ltd.,KOTAKBANK,Banking,Bank - Private,NSE,INE237A01028
Axis Bank Ltd.,AXISBANK,Banking,Bank - Private,NSE,INE238A01034
IDBI Bank Ltd.,IDBI,Banking,Bank - Private,NSE,INE008A01015
AU Small Finance Bank Ltd.,AUBANK,Banking,Bank - Private,NSE,INE949L01017
IDFC First Bank Ltd.,IDFCFIRSTB,Banking,Bank - Private,NSE,INE092T01019
Yes Bank Ltd.,YESBANK,Banking,Bank - Private,NSE,INE528G01035
IndusInd Bank Ltd.,INDUSINDBK,Banking,Bank - Private,NSE,INE095A01012
The Federal Bank Ltd.,FEDERALBNK,Banking,Bank - Private,NSE,INE171A01029
Karur Vysya Bank Ltd.,KARURVYSYA,Banking,Bank - Private,NSE,INE036D01028
Bandhan Bank Ltd.,BANDHANBNK,Banking,Bank - Private,NSE,INE545U01014
City Union Bank Ltd.,CUB,Banking,Bank - Private,NSE,INE491A01021
RBL Bank Ltd.,RBLBANK,Banking,Bank - Private,NSE,INE976G01028
The Jammu & Kashmir Bank Ltd.,J&KBANK,Banking,Bank - Private,NSE,INE168A01041
Ujjivan Small Finance Bank Ltd.,UJJIVANSFB,Banking,Bank - Private,NSE,INE551W01018
The South Indian Bank Ltd.,SOUTHBANK,Banking,Bank - Private,NSE,INE683A01023
Tamilnad Mercantile Bank Ltd.,TMB,Banking,Bank - Private,NSE,INE668A01016
The Karnataka Bank Ltd.,KTKBANK,Banking,Bank - Private,NSE,INE614B01018
CSB Bank Ltd.,CSBBANK,Banking,Bank - Private,NSE,INE679A01013
Equitas Small Finance Bank Ltd.,EQUITASBNK,Banking,Bank - Private,NSE,INE063P01018
DCB Bank Ltd.,DCBBANK,Banking,Bank - Private,NSE,INE503A01015
Jana Small Finance Bank Ltd.,JSFB,Banking,Bank - Private,NSE,INE953L01027
Utkarsh Small Finance Bank Ltd.,UTKARSHBNK,Banking,Bank - Private,NSE,INE735W01017
Fino Payments Bank Ltd.,FINOPB,Banking,Bank - Private,NSE,INE02NC01014
Suryoday Small Finance Bank Ltd.,SURYODAY,Banking,Bank - Private,NSE,INE428Q01011
ESAF Small Finance Bank Ltd.,ESAFSFB,Banking,Bank - Private,NSE,INE818W01011
Capital Small Finance Bank Ltd.,CAPITALSFB,Banking,Bank - Private,NSE,INE646H01017
Dhanlaxmi Bank Ltd.,DHANBANK,Banking,Bank - Private,NSE,INE680A01011
State Bank Of India,SBIN,Banking,Bank - Public,NSE,INE062A01020
Bank Of Baroda,BANKBARODA,Banking,Bank - Public,NSE,INE028A01039
Punjab National Bank,PNB,Banking,Bank - Public,NSE,INE160A01022
Canara Bank,CANBK,Banking,Bank - Public,NSE,INE476A01022
Union Bank Of India,UNIONBANK,Banking,Bank - Public,NSE,INE692A01016
Indian Bank,INDIANB,Banking,Bank - Public,NSE,INE562A01011
Indian Overseas Bank,IOB,Banking,Bank - Public,NSE,INE565A01014
Bank Of India,BANKINDIA,Banking,Bank - Public,NSE,INE084A01016
Bank Of Maharashtra,MAHABANK,Banking,Bank - Public,NSE,INE457A01014
UCO Bank,UCOBANK,Banking,Bank - Public,NSE,INE691A01018
Central Bank Of India,CENTRALBK,Banking,Bank - Public,NSE,INE483A01010
Punjab & Sind Bank,PSB,Banking,Bank - Public,NSE,INE608A01012
Exide Industries Ltd.,EXIDEIND,Automobile & Ancillaries,Batteries,NSE,INE302A01020
HBL Engineering Ltd.,HBLENGINE,Automobile & Ancillaries,Batteries,NSE,INE292B01021
Amara Raja Energy & Mobility Ltd.,ARE&M,Automobile & Ancillaries,Batteries,NSE,INE885A01032
Eveready Industries India Ltd.,EVEREADY,Automobile & Ancillaries,Batteries,NSE,INE128A01029
Maxvolt Energy Industries Ltd.,MAXVOLT,Automobile & Ancillaries,Batteries,NSE,INE10A501018
Indo-National Ltd.,NIPPOBATRY,Automobile & Ancillaries,Batteries,NSE,INE567A01028
Goldstar Power Ltd.,GOLDSTAR,Automobile & Ancillaries,Batteries,NSE,INE405Y01021
ATC Energies System Ltd.,ATCENERGY,Automobile & Ancillaries,Batteries,NSE,INE0V0Q01019
Schaeffler India Ltd.,SCHAEFFLER,Automobile & Ancillaries,Bearings,NSE,INE513A01022
Timken India Ltd.,TIMKEN,Automobile & Ancillaries,Bearings,NSE,INE325A01013
SKF India (Industrial) Ltd.,SKFINDUS,Automobile & Ancillaries,Bearings,NSE,INE2J8701016
SKF India Ltd.,SKFINDIA,Automobile & Ancillaries,Bearings,NSE,INE640A01023
Rolex Rings Ltd,ROLEXRINGS,Automobile & Ancillaries,Bearings,NSE,INE645S01024
NRB Bearings Ltd.,NRBBEARING,Automobile & Ancillaries,Bearings,NSE,INE349A01021
Menon Bearings Ltd.,MENONBE,Automobile & Ancillaries,Bearings,NSE,INE071D01033
SKP Bearing Industries Ltd.,SKP,Automobile & Ancillaries,Bearings,NSE,INE0KZA01016
NRB Industrial Bearings Ltd.,NIBL,Automobile & Ancillaries,Bearings,NSE,INE047O01014
Info Edge (India) Ltd.,NAUKRI,Information Technology,BPO/ITeS,NSE,INE663F01032
Inventurus Knowledge Solutions Ltd.,IKS,Information Technology,BPO/ITeS,NSE,INE115Q01022
Affle 3i Ltd.,AFFLE,Information Technology,BPO/ITeS,NSE,INE00WC01027
Firstsource Solutions Ltd.,FSL,Information Technology,BPO/ITeS,NSE,INE684F01012
eClerx Services Ltd.,ECLERX,Information Technology,BPO/ITeS,NSE,INE738I01010
Just Dial Ltd.,JUSTDIAL,Information Technology,BPO/ITeS,NSE,INE599M01018
Quess Corp Ltd.,QUESS,Information Technology,BPO/ITeS,NSE,INE615P01015
Protean e-Gov Technologies Ltd.,PROTEAN,Information Technology,BPO/ITeS,NSE,INE004A01022
Hinduja Global Solutions Ltd.,HGS,Information Technology,BPO/ITeS,NSE,INE170I01016
One Point One Solutions Ltd.,ONEPOINT,Information Technology,BPO/ITeS,NSE,INE840Y01029
Alldigi Tech Ltd.,ALLDIGI,Information Technology,BPO/ITeS,NSE,INE835G01018
Matrimony.Com Ltd.,MATRIMONY,Information Technology,BPO/ITeS,NSE,INE866R01028
Creative Newtech Ltd.,CNL,Information Technology,BPO/ITeS,NSE,INE985W01018
Vakrangee Ltd.,VAKRANGEE,Information Technology,BPO/ITeS,NSE,INE051B01021
IRIS RegTech Solutions Ltd.,IRIS,Information Technology,BPO/ITeS,NSE,INE864K01010
Sigma Solve Ltd.,SIGMA,Information Technology,BPO/ITeS,NSE,INE0A0S01028
Akiko Global Services Ltd.,AKIKO,Information Technology,BPO/ITeS,NSE,INE0PMR01017
Intrasoft Technologies Ltd.,ISFT,Information Technology,BPO/ITeS,NSE,INE566K01011
Enser Communications Ltd.,ENSER,Information Technology,BPO/ITeS,NSE,INE0R9I01021
Kandarp Digi Smart BPO Ltd.,KANDARP,Information Technology,BPO/ITeS,NSE,INE0MOT01016
Secmark Consultancy Ltd.,SECMARK,Information Technology,BPO/ITeS,NSE,INE0BTM01013
AAA Technologies Ltd.,AAATECH,Information Technology,BPO/ITeS,NSE,INE0D0U01013
HandsOn Global Management (HGM) Ltd.,HGM,Information Technology,BPO/ITeS,NSE,INE596H01014
We Win Ltd.,WEWIN,Information Technology,BPO/ITeS,NSE,INE082W01014
Cadsys India Ltd.,CADSYS,Information Technology,BPO/ITeS,NSE,INE090Y01013
HRH Next Services Ltd.,HRHNEXT,Information Technology,BPO/ITeS,NSE,INE0R3501012
ACE Integrated Solutions Ltd.,ACEINTEG,Information Technology,BPO/ITeS,NSE,INE543V01017
Plada Infotech Services Ltd.,PLADAINFO,Information Technology,BPO/ITeS,NSE,INE0PXD01014
Quadpro ITeS Ltd.,QUADPRO,Information Technology,BPO/ITeS,NSE,INE0GOJ01027
SecUR Credentials Ltd.,SECURCRED,Information Technology,BPO/ITeS,NSE,INE195Y01010
United Spirits Ltd.,UNITDSPR,Alcohol,Breweries & Distilleries,NSE,INE854D01024
Radico Khaitan Ltd.,RADICO,Alcohol,Breweries & Distilleries,NSE,INE944F01028
United Breweries Ltd.,UBL,Alcohol,Breweries & Distilleries,NSE,INE686F01025
Allied Blenders And Distillers Ltd.,ABDL,Alcohol,Breweries & Distilleries,NSE,INE552Z01027
Tilaknagar Industries Ltd.,TI,Alcohol,Breweries & Distilleries,NSE,INE133E01013
India Glycols Ltd.,INDIAGLYCO,Alcohol,Breweries & Distilleries,NSE,INE560A01023
Piccadily Agro Industries Ltd.,PICCADIL,Alcohol,Breweries & Distilleries,NSE,INE546C01010
TruAlt Bioenergy Ltd.,TRUALT,Alcohol,Breweries & Distilleries,NSE,INE0MWH01014
Globus Spirits Ltd.,GLOBUSSPR,Alcohol,Breweries & Distilleries,NSE,INE615I01010
GM Breweries Ltd.,GMBREW,Alcohol,Breweries & Distilleries,NSE,INE075D01018
Som Distilleries And Breweries Ltd.,SDBL,Alcohol,Breweries & Distilleries,NSE,INE480C01038
Sula Vineyards Ltd.,SULA,Alcohol,Breweries & Distilleries,NSE,INE142Q01026
Associated Alcohols & Breweries Ltd.,ASALCBR,Alcohol,Breweries & Distilleries,NSE,INE073G01016
IFB Agro Industries Ltd.,IFBAGRO,Alcohol,Breweries & Distilleries,NSE,INE076C01018
Gulshan Polyols Ltd.,GULPOLY,Alcohol,Breweries & Distilleries,NSE,INE255D01024
Alcokraft Distilleries Ltd.,ALCODIS,Alcohol,Breweries & Distilleries,NSE,INE448V01019
Ravi Kumar Distilleries Ltd.,RKDL,Alcohol,Breweries & Distilleries,NSE,INE722J01012
