fyers_symbol,stock_name,sector,industry,basic_industry
NSE:MAITHANALL-EQ,Maithan Alloys Limited,Metals & Mining,Ferrous Metals,Ferro & Silica Manganese
NSE:MAJESAUT-EQ,Majestic Auto Limited,Services,Commercial Services & Supplies,Diversified Commercial Services
NSE:MALLCOM-EQ,Mallcom (India) Limited,Capital Goods,Industrial Products,Other Industrial Products
NSE:MALUPAPER-EQ,Malu Paper Mills Limited,Forest Materials,Paper Forest & Jute Products,Paper & Paper Products
NSE:MAMATA-EQ,Mamata Machinery Limited,Capital Goods,Industrial Manufacturing,Industrial Products
NSE:MANAKALUCO-EQ,Manaksia Aluminium Company Limited,Metals & Mining,Non - Ferrous Metals,Aluminium
NSE:MANAKCOAT-EQ,Manaksia Coated Metals & Industries Limited,Capital Goods,Industrial Products,Iron & Steel Products
NSE:MANAKSIA-EQ,Manaksia Limited,Capital Goods,Industrial Products,Iron & Steel Products
NSE:MANAKSTEEL-BE,Manaksia Steels Limited,Metals & Mining,Ferrous Metals,Iron & Steel
NSE:MANALIPETC-EQ,Manali Petrochemicals Limited,Chemicals,Chemicals & Petrochemicals,Petrochemicals
NSE:MANAPPURAM-EQ,Manappuram Finance Limited,Financial Services,Finance,Non Banking Financial Company (NBFC)
NSE:MANBA-EQ,Manba Finance Limited,Financial Services,Finance,Non Banking Financial Company (NBFC)
NSE:MANCREDIT-EQ,Mangal Credit and Fincorp Limited,Financial Services,Finance,Non Banking Financial Company (NBFC)
NSE:MANGALAM-EQ,Mangalam Drugs And Organics Limited,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
NSE:MANGLMCEM-EQ,Mangalam Cement Limited,Construction Materials,Cement & Cement Products,Cement & Cement Products
NSE:MANINDS-EQ,Man Industries (India) Limited,Capital Goods,Industrial Products,Iron & Steel Products
NSE:MANINFRA-EQ,Man Infraconstruction Limited,Realty,Realty,Residential Commercial Projects
NSE:MANKIND-EQ,Mankind Pharma Limited,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
NSE:MANOMAY-EQ,Manomay Tex India Limited,Textiles,Textiles & Apparels,Other Textile Products
NSE:MANORAMA-EQ,Manorama Industries Limited,Fast Moving Consumer Goods,Food Products,Other Food Products
NSE:MANORG-BE,Mangalam Organics Limited,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals
NSE:MANUGRAPH-EQ,Manugraph India Limited,Capital Goods,Industrial Manufacturing,Industrial Products
NSE:MANYAVAR-EQ,Vedant Fashions Limited,Consumer Services,Retailing,Speciality Retail
NSE:MAPMYINDIA-EQ,C.E. Info Systems Limited,Information Technology,IT - Software,Software Products
NSE:MARALOVER-BE,Maral Overseas Limited,Textiles,Textiles & Apparels,Other Textile Products
NSE:MARATHON-EQ,Marathon Nextgen Realty Limited,Realty,Realty,Residential Commercial Projects
NSE:MARICO-EQ,Marico Limited,Fast Moving Consumer Goods,Agricultural Food & other Products,Edible Oil
NSE:MARINE-EQ,Marine Electricals (India) Limited,Capital Goods,Industrial Manufacturing,Industrial Products
NSE:MARKOLINES-EQ,Markolines Pavement Technologies Limited,Construction,Construction,Civil Construction
NSE:MARKSANS-EQ,Marksans Pharma Limited,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
NSE:MARSONS-EQ,Marsons Limited,Capital Goods,Electrical Equipment,Heavy Electrical Equipment
NSE:MARUTI-EQ,Maruti Suzuki India Limited,Automobile and Auto Components,Automobiles,Passenger Cars & Utility Vehicles
NSE:MASFIN-EQ,MAS Financial Services Limited,Financial Services,Finance,Non Banking Financial Company (NBFC)
NSE:MASKINVEST-BE,Mask Investments Limited,Financial Services,Finance,Investment Company
NSE:MASTEK-EQ,Mastek Limited,Information Technology,IT - Software,Computers - Software & Consulting
NSE:MASTERTR-EQ,Master Trust Limited,Financial Services,Capital Markets,Stockbroking & Allied
NSE:MATRIMONY-EQ,Matrimony.Com Limited,Consumer Services,Retailing,Internet & Catalogue Retail
NSE:MAWANASUG-BE,Mawana Sugars Limited,Fast Moving Consumer Goods,Agricultural Food & other Products,Sugar
NSE:MAXESTATES-EQ,Max Estates Limited,Realty,Realty,Residential Commercial Projects
NSE:MAXHEALTH-EQ,Max Healthcare Institute Limited,Healthcare,Healthcare Services,Hospital
NSE:MAXIND-EQ,Max India Limited,Financial Services,Finance,Holding Company
NSE:MAYURUNIQ-EQ,Mayur Uniquoters Ltd,Consumer Durables,Consumer Durables,Leather And Leather Products
NSE:MAZDA-EQ,Mazda Limited,Capital Goods,Industrial Manufacturing,Industrial Products
NSE:MAZDOCK-EQ,Mazagon Dock Shipbuilders Limited,Capital Goods,Industrial Manufacturing,Ship Building & Allied Services
NSE:MBAPL-EQ,Madhya Bharat Agro Products Limited,Chemicals,Fertilizers & Agrochemicals,Fertilizers
NSE:MBEL-EQ,M & B Engineering Limited,Construction,Construction,Civil Construction
NSE:MBLINFRA-EQ,MBL Infrastructure Limited,Construction,Construction,Civil Construction
NSE:MCCHRLS-B-EQ,Mac Charles India Limited,Consumer Services,Leisure Services,Hotels & Resorts
NSE:MCL-EQ,Madhav Copper Limited,Capital Goods,Industrial Products,Aluminium Copper & Zinc Products
NSE:MCLEODRUSS-BE,Mcleod Russel India Limited,Fast Moving Consumer Goods,Agricultural Food & other Products,Tea & Coffee
NSE:MCLOUD-EQ,Magellanic Cloud Limited,Information Technology,IT - Software,Computers - Software & Consulting
NSE:MCX-EQ,Multi Commodity Exchange of India Limited,Financial Services,Capital Markets,Exchange and Data Platform
NSE:MEDANTA-EQ,Global Health Limited,Healthcare,Healthcare Services,Hospital
NSE:MEDIASSIST-EQ,Medi Assist Healthcare Services Limited,Financial Services,Insurance,Insurance Distributors
NSE:MEDICAMEQ-EQ,Medicamen Biotech Limited,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
NSE:MEDICO-EQ,Medico Remedies Limited,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
NSE:MEDPLUS-EQ,Medplus Health Services Limited,Consumer Services,Retailing,Pharmacy Retail
NSE:MEESHO-EQ,Meesho Limited,Consumer Services,Retailing,E-Retail/ E-Commerce
NSE:MEGASTAR-EQ,Megastar Foods Limited,Fast Moving Consumer Goods,Food Products,Other Food Products
NSE:MEIL-BE,Mangal Electrical Industries Limited,Capital Goods,Electrical Equipment,Other Electrical Equipment
NSE:MENNPIS-EQ,Menon Pistons Limited,Automobile and Auto Components,Auto Components,Auto Components & Equipments
NSE:MENONBE-EQ,Menon Bearings Limited,Automobile and Auto Components,Auto Components,Auto Components & Equipments
NSE:MEP-BZ,MEP Infrastructure Developers Limited,Services,Transport Infrastructure,Road Assets - Toll Annuity Hybrid-Annuity
NSE:MERCANTILE-EQ,Mercantile Ventures Limited,Services,Commercial Services & Supplies,Diversified Commercial Services
NSE:MERCURYEV-BE,Mercury Ev-Tech Limited,,,
NSE:METROBRAND-EQ,Metro Brands Limited,Consumer Durables,Consumer Durables,Footwear
NSE:METROGLOBL-EQ,Metroglobal Limited,Services,Commercial Services & Supplies,Trading & Distributors
NSE:METROPOLIS-EQ,Metropolis Healthcare Limited,Healthcare,Healthcare Services,Healthcare Service Provider
NSE:MFML-EQ,Mahalaxmi Fabric Mills Limited,Textiles,Textiles & Apparels,Other Textile Products
NSE:MFSL-EQ,Max Financial Services Limited,Financial Services,Insurance,Life Insurance
NSE:MGEL-BE,Mangalam Global Enterprise Limited,Fast Moving Consumer Goods,Agricultural Food & other Products,Other Agricultural Products
NSE:MGL-EQ,Mahanagar Gas Limited,Oil Gas & Consumable Fuels,Gas,LPG/CNG/PNG/LNG Supplier
NSE:MHLXMIRU-EQ,Mahalaxmi Rubtech Limited,Textiles,Textiles & Apparels,Other Textile Products
NSE:MHRIL-EQ,Mahindra Holidays & Resorts India Limited,Consumer Services,Leisure Services,Hotels & Resorts
NSE:MICEL-EQ,MIC Electronics Limited,Capital Goods,Industrial Products,Other Industrial Products
NSE:MIDHANI-EQ,Mishra Dhatu Nigam Limited,Capital Goods,Aerospace & Defense,Aerospace & Defense
NSE:MIDWESTLTD-EQ,Midwest Limited,Consumer Durables,Consumer Durables,Granites & Marbles
NSE:MINDACORP-EQ,Minda Corporation Limited,Automobile and Auto Components,Auto Components,Auto Components & Equipments
NSE:MINDTECK-EQ,Mindteck (India) Limited,Information Technology,IT - Software,Computers - Software & Consulting
NSE:MIRCELECTR-BE,MIRC Electronics Limited,Consumer Durables,Consumer Durables,Consumer Electronics
NSE:MIRZAINT-EQ,Mirza International Limited,Consumer Durables,Consumer Durables,Leather And Leather Products
NSE:MITCON-BE,MITCON Consultancy & Engineering Services Limited,Services,Commercial Services & Supplies,Consulting Services
NSE:MITTAL-EQ,Mittal Life Style Limited,Textiles,Textiles & Apparels,Garments & Apparels
NSE:MKPL-EQ,M K Proteins Limited,Fast Moving Consumer Goods,Agricultural Food & other Products,Edible Oil
NSE:MMFL-EQ,MM Forgings Limited,Automobile and Auto Components,Auto Components,Auto Components & Equipments
NSE:MMP-EQ,MMP Industries Limited,Metals & Mining,Non - Ferrous Metals,Aluminium
NSE:MMTC-EQ,MMTC Limited,Services,Commercial Services & Supplies,Trading & Distributors
NSE:MMWL-BE,Media Matrix Worldwide Limited,Media Entertainment & Publication,Entertainment,Film Production Distribution & Exhibition
NSE:MOBIKWIK-EQ,One Mobikwik Systems Limited,Financial Services,Financial Technology (Fintech),Financial Technology (Fintech)
NSE:MODINATUR-BE,Modi Naturals Limited,Fast Moving Consumer Goods,Agricultural Food & other Products,Other Agricultural Products
NSE:MODIRUBBER-EQ,Modi Rubber Limited,Automobile and Auto Components,Auto Components,Tyres & Rubber Products
NSE:MODIS-EQ,Modis Navnirman Limited,Realty,Realty,Residential Commercial Projects
NSE:MODISONLTD-BE,MODISON LIMITED,Capital Goods,Electrical Equipment,Other Electrical Equipment
NSE:MODTHREAD-EQ,Modern Threads (India) Limited,Textiles,Textiles & Apparels,Other Textile Products
NSE:MOHITIND-EQ,Mohit Industries Limited,Textiles,Textiles & Apparels,Other Textile Products
NSE:MOIL-EQ,MOIL Limited,Metals & Mining,Minerals & Mining,Industrial Minerals
NSE:MOKSH-EQ,Moksh Ornaments Limited,Consumer Durables,Consumer Durables,Gems Jewellery And Watches
NSE:MOL-EQ,Meghmani Organics Limited,Chemicals,Fertilizers & Agrochemicals,Pesticides & Agrochemicals
NSE:MOLDTECH-EQ,Mold-Tek Technologies Limited,Construction,Construction,Civil Construction
NSE:MOLDTKPAC-EQ,Mold-Tek Packaging Limited,Capital Goods,Industrial Products,Packaging
NSE:MONARCH-EQ,Monarch Networth Capital Limited,Financial Services,Capital Markets,Stockbroking & Allied
NSE:MONEYBOXX-EQ,Moneyboxx Finance Limited,Financial Services,Finance,Non Banking Financial Company (NBFC)
NSE:MONTECARLO-EQ,Monte Carlo Fashions Limited,Textiles,Textiles & Apparels,Garments & Apparels
NSE:MORARJEE-BZ,Morarjee Textiles Limited,Textiles,Textiles & Apparels,Other Textile Products
NSE:MOREPENLAB-EQ,Morepen Laboratories Limited,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
NSE:MOSCHIP-EQ,Moschip Technologies Limited,Information Technology,IT - Hardware,Computers Hardware & Equipments
NSE:MOTHERSON-EQ,Samvardhana Motherson International Limited,Automobile and Auto Components,Auto Components,Auto Components & Equipments
NSE:MOTILALOFS-EQ,Motilal Oswal Financial Services Limited,Financial Services,Capital Markets,Stockbroking & Allied
NSE:MOTISONS-EQ,Motisons Jewellers Limited,Consumer Durables,Consumer Durables,Gems Jewellery And Watches
NSE:MOTOGENFIN-BE,The Motor & General Finance Limited,Services,Commercial Services & Supplies,Diversified Commercial Services
NSE:MPHASIS-EQ,MphasiS Limited,Information Technology,IT - Software,Computers - Software & Consulting
NSE:MPSLTD-EQ,MPS Limited,Consumer Services,Other Consumer Services,E-Learning
NSE:MRF-EQ,MRF Limited,Automobile and Auto Components,Auto Components,Tyres & Rubber Products
NSE:MRPL-EQ,Mangalore Refinery and Petrochemicals Limited,Oil Gas & Consumable Fuels,Petroleum Products,Refineries & Marketing
NSE:MSPL-EQ,MSP Steel & Power Limited,Capital Goods,Industrial Products,Iron & Steel Products
NSE:MSTCLTD-EQ,Mstc Limited,Services,Commercial Services & Supplies,Trading & Distributors
NSE:MSUMI-EQ,Motherson Sumi Wiring India Limited,Automobile and Auto Components,Auto Components,Auto Components & Equipments
NSE:MTARTECH-EQ,Mtar Technologies Limited,Capital Goods,Electrical Equipment,Other Electrical Equipment
NSE:MTEDUCARE-BE,MT Educare Limited,Consumer Services,Other Consumer Services,Education
NSE:MTNL-EQ,Mahanagar Telephone Nigam Limited,Telecommunication,Telecom - Services,Telecom - Cellular & Fixed line services
NSE:MUFIN-EQ,Mufin Green Finance Limited,Financial Services,Finance,Non Banking Financial Company (NBFC)
NSE:MUFTI-EQ,Credo Brands Marketing Limited,Consumer Services,Retailing,Speciality Retail
NSE:MUKANDLTD-EQ,Mukand Limited,Capital Goods,Industrial Products,Iron & Steel Products
NSE:MUKKA-EQ,Mukka Proteins Limited,Fast Moving Consumer Goods,Food Products,Animal Feed
NSE:MUKTAARTS-EQ,Mukta Arts Limited,Media Entertainment & Publication,Entertainment,Film Production Distribution & Exhibition
NSE:MUNJALAU-EQ,Munjal Auto Industries Limited,Automobile and Auto Components,Auto Components,Auto Components & Equipments
NSE:MUNJALSHOW-EQ,Munjal Showa Limited,Automobile and Auto Components,Auto Components,Auto Components & Equipments
NSE:MURUDCERA-EQ,Murudeshwar Ceramics Limited,Consumer Durables,Consumer Durables,Ceramics
NSE:MUTHOOTCAP-EQ,Muthoot Capital Services Limited,Financial Services,Finance,Non Banking Financial Company (NBFC)
NSE:MUTHOOTFIN-EQ,Muthoot Finance Limited,Financial Services,Finance,Non Banking Financial Company (NBFC)
NSE:MUTHOOTMF-EQ,Muthoot Microfin Limited,Financial Services,Finance,Microfinance Institutions
NSE:MVGJL-EQ,Manoj Vaibhav Gems N Jewellers Limited,Consumer Durables,Consumer Durables,Gems Jewellery And Watches
NSE:MWL-EQ,Mangalam Worldwide Limited,Capital Goods,Industrial Products,Iron & Steel Products
NSE:NACLIND-EQ,NACL Industries Limited,Chemicals,Fertilizers & Agrochemicals,Pesticides & Agrochemicals
NSE:NAGREEKCAP-BE,Nagreeka Capital & Infrastructure Limited,Financial Services,Finance,Investment Company
NSE:NAGREEKEXP-EQ,Nagreeka Exports Limited,Textiles,Textiles & Apparels,Other Textile Products
NSE:NAHARCAP-EQ,Nahar Capital and Financial Services Limited,Financial Services,Finance,Investment Company
NSE:NAHARINDUS-EQ,Nahar Industrial Enterprises Limited,Textiles,Textiles & Apparels,Other Textile Products
NSE:NAHARPOLY-EQ,Nahar Poly Films Limited,Capital Goods,Industrial Products,Packaging
NSE:NAHARSPING-BE,Nahar Spinning Mills Limited,Textiles,Textiles & Apparels,Other Textile Products
NSE:NAM-INDIA-EQ,Nippon Life India Asset Management Limited,Financial Services,Capital Markets,Asset Management Company
NSE:NARMADA-EQ,Narmada Agrobase Limited,Fast Moving Consumer Goods,Food Products,Animal Feed
NSE:NATCAPSUQ-EQ,Natural Capsules Limited,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
NSE:NATCOPHARM-EQ,Natco Pharma Limited,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
NSE:NATHBIOGEN-EQ,Nath Bio-Genes (India) Limited,Fast Moving Consumer Goods,Agricultural Food & other Products,Other Agricultural Products
NSE:NATIONALUM-EQ,National Aluminium Company Limited,Metals & Mining,Non - Ferrous Metals,Aluminium
NSE:NATIONSTD-EQ,National Standard (India) Limited,Realty,Realty,Residential Commercial Projects
NSE:NAUKRI-EQ,Info Edge (India) Limited,Consumer Services,Retailing,Internet & Catalogue Retail
NSE:NAVA-EQ,NAVA LIMITED,Power,Power,Power Generation
NSE:NAVINFLUOR-EQ,Navin Fluorine International Limited,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
NSE:NAVKARCORP-EQ,Navkar Corporation Limited,Services,Transport Services,Logistics Solution Provider
NSE:NAVKARURB-EQ,Navkar Urbanstructure Limited,Construction,Construction,Civil Construction
NSE:NAVNETEDUL-EQ,Navneet Education Limited,Fast Moving Consumer Goods,Household Products,Stationary
NSE:NAZARA-EQ,Nazara Technologies Limited,Media Entertainment & Publication,Entertainment,Digital Entertainment
NSE:NBCC-EQ,NBCC (India) Limited,Construction,Construction,Civil Construction
NSE:NBIFIN-EQ,N. B. I. Industrial Finance Company Limited,Financial Services,Finance,Non Banking Financial Company (NBFC)
NSE:NCC-EQ,NCC Limited,Construction,Construction,Civil Construction
NSE:NCLIND-EQ,NCL Industries Limited,Construction Materials,Cement & Cement Products,Cement & Cement Products
NSE:NDGL-EQ,Naga Dhunseri Group Limited,Financial Services,Finance,Investment Company
NSE:NDL-EQ,Nandan Denim Limited,Textiles,Textiles & Apparels,Other Textile Products
NSE:NDLVENTURE-EQ,NDL Ventures Limited,Financial Services,Finance,Other Financial Services
NSE:NDRAUTO-EQ,Ndr Auto Components Limited,Automobile and Auto Components,Auto Components,Auto Components & Equipments
NSE:NDTV-EQ,New Delhi Television Limited,Media Entertainment & Publication,Entertainment,TV Broadcasting & Software Production
NSE:NEAGI-EQ,Neelamalai Agro Industries Limited,Fast Moving Consumer Goods,Agricultural Food & other Products,Tea & Coffee
NSE:NECCLTD-EQ,North Eastern Carrying Corporation Limited,Services,Transport Services,Logistics Solution Provider
NSE:NECLIFE-BE,Nectar Lifesciences Limited,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
NSE:NELCAST-EQ,Nelcast Limited,Capital Goods,Industrial Products,Castings & Forgings
NSE:NELCO-EQ,NELCO Limited,Information Technology,IT - Hardware,Computers Hardware & Equipments
NSE:NEOGEN-EQ,Neogen Chemicals Limited,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
NSE:NEPHROPLUS-EQ,Nephrocare Health Services Limited,Healthcare,Healthcare Services,Healthcare Service Provider
NSE:NESCO-EQ,Nesco Limited,Services,Commercial Services & Supplies,Diversified Commercial Services
NSE:NESTLEIND-EQ,Nestle India Limited,Fast Moving Consumer Goods,Food Products,Packaged Foods
NSE:NETWEB-EQ,Netweb Technologies India Limited,Information Technology,IT - Services,IT Enabled Services
NSE:NETWORK18-EQ,Network18 Media & Investments Limited,Media Entertainment & Publication,Entertainment,Media & Entertainment
NSE:NEUEON-BE,Neueon Corporation Limited,Capital Goods,Electrical Equipment,Heavy Electrical Equipment
NSE:NEULANDLAB-EQ,Neuland Laboratories Limited,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
NSE:NEWGEN-EQ,Newgen Software Technologies Limited,Information Technology,IT - Software,Computers - Software & Consulting
NSE:NEXTMEDIA-EQ,Next Mediaworks Limited,Media Entertainment & Publication,Entertainment,Media & Entertainment
NSE:NFL-EQ,National Fertilizers Limited,Chemicals,Fertilizers & Agrochemicals,Fertilizers
NSE:NGIL-BE,Nakoda Group of Industries Limited,Fast Moving Consumer Goods,Food Products,Packaged Foods
NSE:NGLFINE-EQ,NGL Fine-Chem Limited,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
NSE:NH-EQ,Narayana Hrudayalaya Ltd.,Healthcare,Healthcare Services,Hospital
NSE:NHPC-EQ,NHPC Limited,Power,Power,Power Generation
NSE:NIACL-EQ,The New India Assurance Company Limited,Financial Services,Insurance,General Insurance
NSE:NIBE-EQ,NIBE Limited,Capital Goods,Aerospace & Defense,Aerospace & Defense
NSE:NIBL-EQ,NRB Industrial Bearings Limited,Capital Goods,Industrial Products,Abrasives & Bearings
NSE:NIITLTD-EQ,NIIT Limited,Consumer Services,Other Consumer Services,Education
NSE:NIITMTS-EQ,NIIT Learning Systems Limited,Consumer Services,Other Consumer Services,Education
NSE:NILAINFRA-EQ,Nila Infrastructures Limited,Realty,Realty,Residential Commercial Projects
NSE:NILASPACES-EQ,Nila Spaces Limited,Realty,Realty,Residential Commercial Projects
NSE:NILE-EQ,Nile Limited,Metals & Mining,Minerals & Mining,Industrial Minerals
NSE:NILKAMAL-EQ,Nilkamal Limited,Consumer Durables,Consumer Durables,Plastic Products - Consumer
NSE:NIMBSPROJ-BE,Nimbus Projects Limited,Realty,Realty,Residential Commercial Projects
NSE:NINSYS-BE,NINtec Systems Limited,Information Technology,IT - Software,Computers - Software & Consulting
NSE:NIPPOBATRY-EQ,Indo-National Limited,Fast Moving Consumer Goods,Household Products,Household Products
NSE:NIRAJ-BE,Niraj Cement Structurals Limited,Construction,Construction,Civil Construction
NSE:NIRAJISPAT-EQ,Niraj Ispat Industries Limited,Consumer Durables,Consumer Durables,Plastic Products - Consumer
NSE:NIRLON-EQ,Nirlon Limited,Services,Commercial Services & Supplies,Diversified Commercial Services
NSE:NITCO-EQ,Nitco Limited,Consumer Durables,Consumer Durables,Ceramics
NSE:NITINSPIN-EQ,Nitin Spinners Limited,Textiles,Textiles & Apparels,Other Textile Products
NSE:NITIRAJ-EQ,Nitiraj Engineers Limited,Capital Goods,Electrical Equipment,Other Electrical Equipment
NSE:NITTAGELA-EQ,Nitta Gelatin India Limited,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
NSE:NIVABUPA-EQ,Niva Bupa Health Insurance Company Limited,Financial Services,Insurance,General Insurance
NSE:NKIND-EQ,NK Industries Limited,Fast Moving Consumer Goods,Agricultural Food & other Products,Edible Oil
NSE:NLCINDIA-EQ,NLC India Limited,Power,Power,Power Generation
NSE:NMDC-EQ,NMDC Limited,Metals & Mining,Minerals & Mining,Industrial Minerals
NSE:NOCIL-EQ,NOCIL Limited,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
NSE:NOIDATOLL-BE,Noida Toll Bridge Company Limited,Services,Transport Infrastructure,Road Assets - Toll Annuity Hybrid-Annuity
NSE:NORBTEAEXP-EQ,Norben Tea & Exports Limited,Fast Moving Consumer Goods,Agricultural Food & other Products,Tea & Coffee
NSE:NORTHARC-EQ,Northern Arc Capital Limited,Financial Services,Finance,Non Banking Financial Company (NBFC)
NSE:NOVAAGRI-EQ,Nova Agritech Limited,Chemicals,Fertilizers & Agrochemicals,Fertilizers
NSE:NOVARTIND-EQ,Novartis India Limited,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
NSE:NPST-EQ,Network People Services Technologies Limited,Financial Services,Financial Technology (Fintech),Financial Technology (Fintech)
NSE:NRAIL-EQ,N R Agarwal Industries Limited,Forest Materials,Paper Forest & Jute Products,Paper & Paper Products
NSE:NRBBEARING-EQ,NRB Bearing Limited,Automobile and Auto Components,Auto Components,Auto Components & Equipments
NSE:NRL-EQ,Nupur Recyclers Limited,Metals & Mining,Metals & Minerals Trading,Trading - Metals
NSE:NSIL-EQ,Nalwa Sons Investments Limited,Financial Services,Finance,Investment Company
NSE:NSLNISP-EQ,NMDC Steel Limited,Metals & Mining,Ferrous Metals,Iron & Steel
NSE:NTPC-EQ,NTPC Limited,Power,Power,Power Generation
NSE:NTPCGREEN-EQ,NTPC Green Energy Limited,Power,Power,Power Generation
NSE:NUCLEUS-EQ,Nucleus Software Exports Limited,Information Technology,IT - Software,Software Products
NSE:NURECA-EQ,Nureca Limited,Healthcare,Healthcare Equipment & Supplies,Medical Equipment & Supplies
NSE:NUVAMA-EQ,Nuvama Wealth Management Limited,Financial Services,Capital Markets,Stockbroking & Allied
NSE:NUVOCO-EQ,Nuvoco Vistas Corporation Limited,Construction Materials,Cement & Cement Products,Cement & Cement Products
NSE:NYKAA-EQ,FSN E-Commerce Ventures Limited,Consumer Services,Retailing,E-Retail/ E-Commerce
NSE:OAL-EQ,Oriental Aromatics Limited,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
NSE:OBCL-EQ,Orissa Bengal Carrier Limited,Services,Transport Services,Logistics Solution Provider
NSE:OBEROIRLTY-EQ,Oberoi Realty Limited,Realty,Realty,Residential Commercial Projects
NSE:OCCLLTD-EQ,OCCL Limited,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals
NSE:ODIGMA-EQ,Odigma Consultancy Solutions Limited,Information Technology,IT - Services,IT Enabled Services
NSE:OFSS-EQ,Oracle Financial Services Software Limited,Information Technology,IT - Software,Software Products
NSE:OIL-EQ,Oil India Limited,Oil Gas & Consumable Fuels,Oil,Oil Exploration & Production
NSE:OILCOUNTUB-BE,Oil Country Tubular Limited,Oil Gas & Consumable Fuels,Oil,Oil Equipment & Services
NSE:OLAELEC-EQ,Ola Electric Mobility Limited,Automobile and Auto Components,Automobiles,2/3 Wheelers
NSE:OLECTRA-EQ,Olectra Greentech Limited,Automobile and Auto Components,Automobiles,Passenger Cars & Utility Vehicles
NSE:OMAXAUTO-BE,Omax Autos Limited,Automobile and Auto Components,Auto Components,Auto Components & Equipments
NSE:OMAXE-EQ,Omaxe Limited,Realty,Realty,Residential Commercial Projects
NSE:OMFREIGHT-EQ,Om Freight Forwarders Limited,Services,Transport Services,Logistics Solution Provider
NSE:OMINFRAL-EQ,OM INFRA LIMITED,Construction,Construction,Civil Construction
NSE:OMNI-EQ,Omnitech Engineering Limited,Capital Goods,Industrial Manufacturing,Industrial Products
NSE:OMPOWER-EQ,Om Power Transmission Limited,Construction,Construction,Civil Construction
NSE:ONELIFECAP-BE,Onelife Capital Advisors Limited,Financial Services,Capital Markets,Stockbroking & Allied
NSE:ONEPOINT-EQ,One Point One Solutions Limited,Services,Commercial Services & Supplies,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO)
NSE:ONESOURCE-EQ,Onesource Specialty Pharma Limited,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
NSE:ONGC-EQ,Oil & Natural Gas Corporation Limited,Oil Gas & Consumable Fuels,Oil,Oil Exploration & Production
NSE:ONMOBILE-EQ,OnMobile Global Limited,Media Entertainment & Publication,Media,Web based media and service
NSE:ONWARDTEC-EQ,Onward Technologies Limited,Information Technology,IT - Services,IT Enabled Services
NSE:OPTIEMUS-EQ,Optiemus Infracom Limited,Telecommunication,Telecom - Equipment & Accessories,Telecom - Equipment & Accessories
NSE:ORBTEXP-EQ,Orbit Exports Limited,Textiles,Textiles & Apparels,Other Textile Products
NSE:ORCHASP-EQ,Orchasp Limited,Information Technology,IT - Software,Computers - Software & Consulting
NSE:ORCHPHARMA-EQ,Orchid Pharma Limited,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
NSE:ORICONENT-EQ,Oricon Enterprises Limited,Capital Goods,Industrial Products,Packaging
NSE:ORIENTALTL-EQ,Oriental Trimex Limited,Consumer Durables,Consumer Durables,Granites & Marbles
NSE:ORIENTBELL-EQ,Orient Bell Limited,Consumer Durables,Consumer Durables,Ceramics
NSE:ORIENTCEM-EQ,Orient Cement Limited,Construction Materials,Cement & Cement Products,Cement & Cement Products
NSE:ORIENTCER-EQ,ORIENT CERATECH LIMITED,Capital Goods,Industrial Products,Electrodes & Refractories
NSE:ORIENTELEC-EQ,Orient Electric Limited,Consumer Durables,Consumer Durables,Household Appliances
NSE:ORIENTHOT-EQ,Oriental Hotels Limited,Consumer Services,Leisure Services,Hotels & Resorts
NSE:ORIENTLTD-EQ,Orient Press Limited,Capital Goods,Industrial Products,Packaging
NSE:ORIENTPPR-EQ,Orient Paper & Industries Limited,Forest Materials,Paper Forest & Jute Products,Paper & Paper Products
NSE:ORIENTTECH-EQ,Orient Technologies Limited,Information Technology,IT - Services,IT Enabled Services
NSE:ORISSAMINE-EQ,The Orissa Minerals Development Company Limited,Metals & Mining,Minerals & Mining,Industrial Minerals
NSE:ORKLAINDIA-EQ,Orkla India Limited,Fast Moving Consumer Goods,Food Products,Other Food Products
NSE:ORTEL-BZ,Ortel Communications Limited,Media Entertainment & Publication,Entertainment,TV Broadcasting & Software Production
