fyers_symbol,stock_name,sector,industry,basic_industry
NSE:ARMANFIN-EQ,Arman Financial Services Limited,Financial Services,Finance,Non Banking Financial Company (NBFC)
NSE:AROGRANITE-EQ,Aro Granite Industries Limited,Consumer Durables,Consumer Durables,Granites & Marbles
NSE:ARROWGREEN-EQ,Arrow Greentech Limited,Capital Goods,Industrial Products,Packaging
NSE:ARSHIYA-BZ,Arshiya Limited,Services,Transport Services,Logistics Solution Provider
NSE:ARSSBL-EQ,Anand Rathi Share and Stock Brokers Limited,Financial Services,Capital Markets,Stockbroking & Allied
NSE:ARTEMISMED-EQ,Artemis Medicare Services Limited,Healthcare,Healthcare Services,Hospital
NSE:ARTNIRMAN-EQ,Art Nirman Limited,Realty,Realty,Residential Commercial Projects
NSE:ARVEE-EQ,Arvee Laboratories (India) Limited,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
NSE:ARVIND-EQ,Arvind Limited,Textiles,Textiles & Apparels,Garments & Apparels
NSE:ARVINDFASN-EQ,Arvind Fashions Limited,Consumer Services,Retailing,Speciality Retail
NSE:ARVSMART-EQ,Arvind SmartSpaces Limited,Realty,Realty,Residential Commercial Projects
NSE:ASAHIINDIA-EQ,Asahi India Glass Limited,Automobile and Auto Components,Auto Components,Auto Components & Equipments
NSE:ASAHISONG-EQ,Asahi Songwon Colors Limited,Chemicals,Chemicals & Petrochemicals,Dyes And Pigments
NSE:ASAL-EQ,Automotive Stampings and Assemblies Limited,Automobile and Auto Components,Auto Components,Auto Components & Equipments
NSE:ASALCBR-EQ,Associated Alcohols & Breweries Ltd.,Fast Moving Consumer Goods,Beverages,Breweries & Distilleries
NSE:ASHAPURMIN-EQ,Ashapura Minechem Limited,Metals & Mining,Minerals & Mining,Industrial Minerals
NSE:ASHIANA-EQ,Ashiana Housing Limited,Realty,Realty,Residential Commercial Projects
NSE:ASHIKA-EQ,Ashika Credit Capital Limited,Financial Services,Finance,Non Banking Financial Company (NBFC)
NSE:ASHIMASYN-EQ,Ashima Limited,Realty,Realty,Residential Commercial Projects
NSE:ASHOKA-EQ,Ashoka Buildcon Limited,Construction,Construction,Civil Construction
NSE:ASHOKAMET-EQ,Ashoka Metcast Limited,Metals & Mining,Metals & Minerals Trading,Trading - Metals
NSE:ASHOKLEY-EQ,Ashok Leyland Limited,Capital Goods,Agricultural Commercial & Construction Vehicles,Commercial Vehicles
NSE:ASIANENE-EQ,Asian Energy Services Limited,Oil Gas & Consumable Fuels,Oil,Oil Equipment & Services
NSE:ASIANHOTNR-EQ,Asian Hotels (North) Limited,Consumer Services,Leisure Services,Hotels & Resorts
NSE:ASIANPAINT-EQ,Asian Paints Limited,Consumer Durables,Consumer Durables,Paints
NSE:ASIANTILES-EQ,Asian Granito India Limited,Consumer Durables,Consumer Durables,Ceramics
NSE:ASKAUTOLTD-EQ,ASK Automotive Limited,Automobile and Auto Components,Auto Components,Auto Components & Equipments
